"source_term","target_term","type","part_of_speech","context","definition","status","evidence_type","verification_source","first_use_gloss","usage_rule","notes"
"世上无难事，只怕有心人","“Nothing in the world is difficult for a determined person.”","proverb_quotation","quotation","CH03-P001; CH03-P057","Repeated authorial proverb","locked","project-lead approved project translation","qa/chapter_03_terminology_decision.md (C3-T066)","","Use exactly the same wording at both occurrences.","Do not replace it with the distinct locked rendering for 有志者事竟成."
"日进斗金","profits poured in day after day","idiomatic_business_expression","verb phrase","CH03-P036","Authorial description of rapid profitability","locked","project-lead approved natural contextual rendering","qa/chapter_03_terminology_decision.md (C3-T067)","","Use profits poured in day after day; contextual grammar may adjust naturally.","Do not use a misleading literal coin metaphor."
"晴天霹雳","a bolt from the blue","idiom","noun phrase","CH03-P045","Quoted description of sudden shock","locked","project-lead approved idiomatic rendering","qa/chapter_03_terminology_decision.md (C3-T068)","","Use a bolt from the blue.",""
"有三利就有三害","“Three gains bring three harms.”","source_attributed_saying","quotation","CH03-P054; CH03-P055","Source-attributed saying followed by the author's explanation","locked","project-lead approved project translation","qa/chapter_03_terminology_decision.md (C3-T069)","","Use the approved quotation and preserve CH03-P055 as its explanation.","Do not present the wording as an established English proverb."
"冯·莫特克引文","translate directly and faithfully from the frozen Chinese source","quotation_translation_method","source-attributed quotation","CH03-P065","Quotation attributed by the source to Helmuth von Moltke the Elder","locked","project-lead approved source-translation method; exact external wording independently unverified","qa/chapter_03_terminology_decision.md (C3-T070)","","Attribute to Helmuth von Moltke the Elder and translate the frozen Chinese directly.","Do not substitute a published English quotation, rewrite the Chinese to match an external version, or silently change attribution. No reader-facing discrepancy note is mandatory at this stage."
"米的期货交易","rice futures trading","business_financial_term","noun phrase","CH03-P032","Rice futures activity described in the source","locked","project-lead approved financial rendering","qa/chapter_03_terminology_decision.md (C3-T071)","","Use rice futures trading.","Do not add market mechanics absent from the source."
"陆军元帅","field marshal","professional_military_title","noun","CH03-P065","Military rank attached to Moltke","locked","project-lead approved established title","qa/chapter_03_terminology_decision.md (C3-T072)","","Use field marshal with C3-T024 Helmuth von Moltke the Elder.",""
"政治变革","political change","political_concept","noun phrase","CH03-P049; CH03-P050; CH03-P051","Repeated source answer and analytical term","locked","project-lead approved consistent contextual rendering","qa/chapter_03_terminology_decision.md (C3-T073)","","Use political change consistently unless grammar requires a determiner.","Preserve the source repetition."
"仁桥洞","Ingyo-dong","place","proper noun","CH04-P008; C4-T048","Daegu neighborhood","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T048)","","Use Ingyo-dong.",""
"西门市场","Seomun Market","place","proper noun","CH04-P008; C4-T049","Market in Daegu","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T049)","","Use Seomun Market.",""
"京釜铁路","Gyeongbu Line","transport_geography","proper noun","CH04-P010; C4-T050","Rail connection identified by the source","locked","project-lead approved railway form","qa/chapter_04_terminology_decision.md (C4-T050)","","Use Gyeongbu Line and preserve the source parenthetical Seoul–Busan.",""
"岭南","Yeongnam","historical_geographic_region","proper noun","CH04-P010; FB-F011; C4-T051","Korean region explained by the source footnote","locked","project-lead approved regional form","qa/chapter_04_terminology_decision.md (C4-T051)","","Use Yeongnam; preserve and faithfully translate FB-F011.",""
"浦项","Pohang","place","proper noun","CH04-P012; CH04-P027; C4-T052","Korean place name","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T052)","","Use Pohang.",""
"新义州","Sinuiju","place","proper noun","CH04-P014; CH04-P019; C4-T053","Korean place name","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T053)","","Use Sinuiju.",""
"元山","Wonsan","place","proper noun","CH04-P014; CH04-P019; C4-T054","Korean place name","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T054)","","Use Wonsan.",""
"兴南","Hungnam","place","proper noun","CH04-P014; CH04-P019; C4-T055","Historical Korean place name","locked","project-lead approved historical place form","qa/chapter_04_terminology_decision.md (C4-T055)","","Use Hungnam.",""
"长春","Changchun","place","proper noun","CH04-P014; CH04-P019; C4-T056","Chinese place name","locked","established conventional English form","qa/chapter_04_terminology_decision.md (C4-T056)","","Use Changchun.",""
"沈阳","Shenyang","place","proper noun","CH04-P014; CH04-P019; CH04-P028; C4-T057","Chinese place name","locked","established conventional English form","qa/chapter_04_terminology_decision.md (C4-T057)","","Use Shenyang.",""
"青岛","Qingdao","place","proper noun","CH04-P014; C4-T058","Chinese place name","locked","established conventional English form","qa/chapter_04_terminology_decision.md (C4-T058)","","Use Qingdao.",""
"山海关","Shanhaiguan","place","proper noun","CH04-P019; C4-T059","Historical locality/pass on the source journey","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T059)","","Use Shanhaiguan and retain the source travel context.","Do not add unsupported geographic explanation."
"北京","Beijing","place","proper noun","CH04-P012; CH04-P015; CH04-P016; CH04-P019; CH04-P027; C4-T060","Chinese place name","locked","established conventional English form","qa/chapter_04_terminology_decision.md (C4-T060)","","Use Beijing.",""
"丹东","Dandong","place","proper noun","CH04-P028; C4-T061","Chinese place name","locked","established conventional English form","qa/chapter_04_terminology_decision.md (C4-T061)","","Use Dandong.",""
"中国东北","Northeast China","region","proper noun","CH04-P012; CH04-P014; CH04-P015; CH04-P016; CH04-P020; CH04-P021; CH04-P027; C4-T062","Regional reference","locked","project-lead approved contextual regional form","qa/chapter_04_terminology_decision.md (C4-T062)","","Use Northeast China.","Do not automatically replace with Manchuria."
"华北","North China","region","proper noun","CH04-P019; C4-T063","Regional reference","locked","project-lead approved regional form","qa/chapter_04_terminology_decision.md (C4-T063)","","Use North China.",""
"东海","Korea's east coast","geographic_expression","noun phrase","CH04-P020; CH04-P021; C4-T064","Fishing and production region in Chapter 4 context","locked","project-lead approved occurrence-level contextual rendering","qa/chapter_04_terminology_decision.md (C4-T064)","","Use natural contextual forms such as dried fish from Korea's east coast or fishermen on Korea's east coast.","Do not assert a contested formal sea name and do not add a geopolitical note."
"阿岘洞","Ahyeon-dong","place","proper noun","CH04-P052; FB-F013; C4-T065","Seoul neighborhood","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T065)","","Use Ahyeon-dong; preserve and faithfully translate FB-F013.",""
"新设洞","Sinseol-dong","place","proper noun","CH04-P063; C4-T066","Seoul neighborhood","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T066)","","Use Sinseol-dong.",""
"临津江","Imjin River","place","proper noun","CH04-P058/CH04-P059; C4-T067","River in a cross-page source continuation","locked","project-lead approved place form","qa/chapter_04_terminology_decision.md (C4-T067)","","Use Imjin River and preserve the cross-ID continuation.",""
"太平洋战争","the Pacific War","historical_event","proper noun","CH04-P064; C4-T068","War reference as stated by the source","locked","project-lead approved historical-event form","qa/chapter_04_terminology_decision.md (C4-T068)","","Use the Pacific War and preserve the source historical statement.","Do not add an automatic factual note."
"韩国解放 / 解放","Korea's liberation / the liberation of Korea","historical_event_context","noun phrase","CH04-P054; CH04-P055; CH04-P064; C4-T069","1945 liberation context","locked","project-lead approved grammar-sensitive forms","qa/chapter_04_terminology_decision.md (C4-T069)","","Choose Korea's liberation or the liberation of Korea according to grammar.","Preserve the source's 1945 date."
"日本帝国主义统治","Japanese colonial rule","historical_political_concept","noun phrase","CH04-P054; C4-T070","Colonial-rule context","locked","project-lead approved historical rendering","qa/chapter_04_terminology_decision.md (C4-T070)","","Use Japanese colonial rule.","Preserve the author's register."
"战时粮食统制语境","wartime food controls / wartime economic controls","historical_economic_context","noun phrase","CH04-P027; CH04-P048; CH04-P064; C4-T071","Source descriptions of wartime controls","locked","project-lead approved occurrence-level descriptive rendering","qa/chapter_04_terminology_decision.md (C4-T071)","","Use wartime food controls or wartime economic controls according to the breadth of the occurrence.","Do not capitalize as an official title or invent a decree name."
"木炭汽车","charcoal-powered cars","historical_transport_term","noun phrase","CH04-P052; C4-T072","Period vehicle technology","locked","project-lead approved descriptive rendering","qa/chapter_04_terminology_decision.md (C4-T072)","","Use charcoal-powered cars.","Do not add technical explanation unless later human review authorizes it."
"奥兹莫比尔","Oldsmobile","vehicle_brand","proper noun","CH04-P059; C4-T073","Vehicle brand","locked","established brand name","qa/chapter_04_terminology_decision.md (C4-T073)","","Use Oldsmobile.","Do not infer a model."
"元 / 韩元（Chapter 4 historical amounts）","unlabeled amounts: yen; explicit 12万韩元: 120,000 won","historical_currency_policy","complete amount expressions","CH04-P006; CH04-P009; CH04-P031; CH04-P043; CH04-P049; CH04-P052; CH04-P062; CH04-P064; C4-T074","Chapter 4 occurrence-level currency policy","locked","project-lead approved period-currency convention with explicit-source exception","qa/chapter_04_terminology_decision.md (C4-T074)","","Render complete unlabeled colonial-period amounts in yen without conversion; render explicit 12万韩元 in CH04-P049 as 120,000 won.","Mandatory TN-CH04-001 at P006 and TN-CH04-004 at P049. Do not establish blind character replacements or silently change explicit source wording."
"加仑 / 升","gallons / liters","unit","plural nouns","FB-F012; C4-T075","Capacity units in the frozen source footnote","locked","project-lead approved source-faithful unit rendering","qa/chapter_04_terminology_decision.md (C4-T075)","","Use gallons and liters while preserving the source equations exactly in meaning.","Do not correct or normalize 1石 = 47.6加仑 or 1加仑 = 4升 even if modern conversions differ."
"会长","chairman","corporate_title","noun","CH04-P040; C4-T076","Corporate executive title","locked","project-lead approved contextual title","qa/chapter_04_terminology_decision.md (C4-T076)","","Use chairman for the executives in P040.",""
"社长","president","corporate_title","noun","CH04-P049; C4-T077","Brewery executive role","locked","project-lead approved contextual title","qa/chapter_04_terminology_decision.md (C4-T077)","","Use president only for the P049 brewery executive role.","Distinguish from chairman."
"总监","general manager","corporate_title","noun","CH04-P049; C4-T078","Brewery management role","locked","project-lead approved contextual title","qa/chapter_04_terminology_decision.md (C4-T078)","","Use general manager only in the P049 brewery-management context.",""
"厂长","plant manager","professional_title","noun","CH04-P049; C4-T079","Plant leadership role","locked","project-lead approved contextual title","qa/chapter_04_terminology_decision.md (C4-T079)","","Use plant manager.",""
"专职经理 / 专职管理者体制","person: professional manager; system: professional management system","business_management_concept","noun phrase","CH04-P034; CH04-P040; CH04-P049; C4-T080","Professional manager and management-system distinction","locked","project-lead approved occurrence-level distinction","qa/chapter_04_terminology_decision.md (C4-T080)","","Use professional manager for a person and professional management system for the system; adjust grammar naturally.",""
"市场调查","market research","business_term","noun phrase","CH04-P014; CH04-P022; CH04-P024; CH04-P026; C4-T081","Business research activity","locked","project-lead approved business term","qa/chapter_04_terminology_decision.md (C4-T081)","","Use market research consistently.","Do not add methodology absent from the source."
"以质量取胜 / 高品质战略","compete on quality / a high-quality strategy","business_strategy","verb phrase / noun phrase","CH04-P002; CH04-P029; CH04-P030; CH04-P037; CH04-P039; C4-T082","Repeated quality-based management strategy","locked","project-lead approved occurrence-level forms","qa/chapter_04_terminology_decision.md (C4-T082)","","Use compete on quality for 以质量取胜 and a high-quality strategy for 高品质战略.","Preserve the repeated management-principle structure."
"信用","trustworthiness","business_social_concept","noun","CH04-P004; CH04-P062; C4-T083","Business and social trust concept in an intentional repetition","locked","project-lead approved consistent rendering","qa/chapter_04_terminology_decision.md (C4-T083)","","Use trustworthiness identically in P004 and P062; sentence grammar may use the importance of trustworthiness.","Do not use credit score or credit rating."
"经营理念","management principles / management philosophy","business_concept","noun phrase","CH04-P001; CH04-P026; CH04-P035/CH04-P036; C4-T084","Occurrence-sensitive management concept","locked","project-lead approved occurrence-level distinction","qa/chapter_04_terminology_decision.md (C4-T084)","","Use management principles in P001 and P035/P036; use management philosophy in P026.","Preserve the intentional repetition between the opening and P035/P036."
"疑人不用，用人不疑","“Do not employ those you doubt; do not doubt those you employ.”","management_maxim","quotation","CH04-P034; C4-T085","Source management maxim","locked","project-lead approved source-quotation rendering","qa/chapter_04_terminology_decision.md (C4-T085)","","Use the approved wording and preserve quotation status.","Do not present it as an independently sourced English proverb."
"噬脐莫及","bitter regret that came too late","idiom","phrase","CH04-P018; C4-T086","Source idiom","locked","project-lead approved idiomatic rendering","qa/chapter_04_terminology_decision.md (C4-T086)","","Use bitter regret that came too late; natural grammatical adjustment is permitted.",""
"既能造福他人，又能使自己获益的事业","“a business that benefits others while also benefiting oneself”","source_quotation_business_ideal","quotation","CH04-P019; C4-T087","Source quotation describing a business ideal","locked","project-lead approved source-quotation rendering","qa/chapter_04_terminology_decision.md (C4-T087)","","Use the approved wording and preserve quotation status.",""
"商界巨擘","business titan","authorial_epithet","noun phrase","CH04-P004; CH04-P062; C4-T088","Authorial epithet in an intentional repetition","locked","project-lead approved authorial rendering","qa/chapter_04_terminology_decision.md (C4-T088)","","Use business titan identically in P004 and P062.","This is not an official title."
"日本商界三大神话之一","one of the three great legends of Japanese business","authorial_label","noun phrase","CH04-P057; C4-T089","Japan-specific rhetorical label","locked","project-lead approved authorial rendering","qa/chapter_04_terminology_decision.md (C4-T089)","","Use one of the three great legends of Japanese business.","Not an official title; do not mechanically reuse the Korea-specific project expression. No reader-facing note required."
"万念俱灭，一蹶不振","lose all hope and never recover","idiom","verb phrase","CH04-P061; C4-T090","Paired emotional expression","locked","project-lead approved idiomatic rendering","qa/chapter_04_terminology_decision.md (C4-T090)","","Use lose all hope and never recover, with natural grammatical adjustment if required.","Preserve emotional force without literalizing individual characters."
"清酒 / 米酒 / 药酒","sake / rice wine / medicinal wine","food_drink_terms","nouns","CH04-P045; C4-T091","Three distinct source beverage categories","locked","project-lead approved differentiated renderings","qa/chapter_04_terminology_decision.md (C4-T091)","","Use sake for 清酒, rice wine for 米酒, and medicinal wine for 药酒.","Do not collapse the three into alcohol, liquor, or one generic rice-wine term. No explanatory note required."
"私家车、火车、公共汽车","private cars, trains, and buses","visually_verified_source_wording","noun list","CH04-P054; C4-T092","Printed wording visually verified by the Project Lead","locked","project-lead approved source-preserving rendering","qa/chapter_04_terminology_decision.md (C4-T092)","","Use private cars, trains, and buses exactly; preserve 火车 as printed.","Do not substitute 货车/trucks. Mandatory translator/editor note TN-CH04-005: The printed source reads “private cars, trains, and buses.” This unusual wording is preserved as printed."
"《共同警备区》","*Joint Security Area*","film_title","proper title","CH05-P010; C5-T052","Established English title of the film referenced by the source","locked","established English film title","qa/chapter_05_terminology_decision.md (C5-T052)","","Use *Joint Security Area* and italicize the title.",""
"通川","Tongcheon","place","proper noun","CH05-P006; C5-T070","Historical place reference","locked","project-lead approved geographic form","qa/chapter_05_terminology_decision.md (C5-T070)","","Use Tongcheon; do not add County unless the source explicitly supplies it.","Distinct from the existing occurrence-specific 通川郡 / Tongcheon County lock."
"咸兴","Hamhung","place","proper noun","CH05-P006; FB-F015; C5-T071","Korean place name","locked","project-lead approved geographic form","qa/chapter_05_terminology_decision.md (C5-T071)","","Use Hamhung.","Preserve source footnote FB-F015."
"咸镜道","Hamgyong Province","historical_administrative_region","proper noun","FB-F015; C5-T072","Undivided historical Korean province","locked","project-lead approved historical geographic form","qa/chapter_05_terminology_decision.md (C5-T072)","","Use Hamgyong Province; do not add North or South.","Preserve source footnote FB-F015."
"西小门洞","Seosomun-dong","place","proper noun","CH05-P006; C5-T073","Seoul neighborhood","locked","project-lead approved romanization","qa/chapter_05_terminology_decision.md (C5-T073)","","Use Seosomun-dong.",""
"沙里院","Sariwon","place","proper noun","CH05-P006; FB-F016; C5-T074","Korean place name","locked","project-lead approved geographic form","qa/chapter_05_terminology_decision.md (C5-T074)","","Use Sariwon.","Preserve source footnote FB-F016."
"黄海道","Hwanghae Province","historical_administrative_region","proper noun","FB-F016; C5-T075","Undivided historical Korean province","locked","project-lead approved historical geographic form","qa/chapter_05_terminology_decision.md (C5-T075)","","Use Hwanghae Province and preserve the undivided historical form.","Preserve source footnote FB-F016."
"安阳","Anyang","place","proper noun","CH05-P007; C5-T076","Korean place name","locked","project-lead approved geographic form","qa/chapter_05_terminology_decision.md (C5-T076)","","Use Anyang.",""
"对马岛","Tsushima Island","place","proper noun","CH05-P008; C5-T077","Island referenced in Japan-related business context","locked","project-lead approved geographic form","qa/chapter_05_terminology_decision.md (C5-T077)","","Use Tsushima Island at first occurrence; later natural short reference may use Tsushima.",""
"惠化洞","Hyehwa-dong","place","proper noun","CH05-P010; C5-T078","Seoul neighborhood","locked","project-lead approved romanization","qa/chapter_05_terminology_decision.md (C5-T078)","","Use Hyehwa-dong.",""
"钟路二街","Jongno 2-ga","place","proper noun","CH05-P013; C5-T079","Historical Seoul street/neighborhood reference","locked","project-lead approved romanization","qa/chapter_05_terminology_decision.md (C5-T079)","","Use Jongno 2-ga.",""
"澳门","Macao","place","proper noun","CH05-P015; CH05-P031; CH05-P033; C5-T080","Place name","locked","project-lead approved geographic spelling","qa/chapter_05_terminology_decision.md (C5-T080)","","Use Macao consistently.",""
"香港","Hong Kong","place","proper noun","CH05-P015; CH05-P031-CH05-P033; C5-T081","Place name","locked","widely established English form","qa/chapter_05_terminology_decision.md (C5-T081)","","Use Hong Kong.",""
"新加坡","Singapore","place","proper noun","CH05-P033; C5-T082","Country/place name","locked","widely established English form","qa/chapter_05_terminology_decision.md (C5-T082)","","Use Singapore.",""
"东南亚","Southeast Asia","region","proper noun","CH05-P033; C5-T083","Regional name","locked","widely established English form","qa/chapter_05_terminology_decision.md (C5-T083)","","Use Southeast Asia.",""
"美国","the United States / U.S.","place_or_adjective","proper noun/adjective","CH05-P034; CH05-P040; CH05-P044; C5-T084","Country and adjectival references","locked","project-lead approved syntax-dependent forms","qa/chapter_05_terminology_decision.md (C5-T084)","","Use the United States as a noun and U.S. adjectivally according to syntax.",""
"忠武路","Chungmuro","place","proper noun","CH05-P037; C5-T085","Seoul street/district","locked","project-lead approved romanization","qa/chapter_05_terminology_decision.md (C5-T085)","","Use Chungmuro.",""
"光化门","Gwanghwamun","place","proper noun","CH05-P046; C5-T086","Seoul place/area reference","locked","project-lead approved romanization","qa/chapter_05_terminology_decision.md (C5-T086)","","Use Gwanghwamun; use the district/area sense when context denotes the area rather than the gate.",""
"越南 / 中东","Vietnam / the Middle East","historical_business_regions","proper nouns","CH05-P058; C5-T087","Paired regions in Hyundai project-history comparison","locked","project-lead approved conventional forms","qa/chapter_05_terminology_decision.md (C5-T087)","","Use Vietnam and the Middle East; do not add specific projects absent from the source.",""
"大邱暴动","the 1946 Daegu uprising","historical_event","noun phrase","CH05-P028; C5-T088","Source event label in Lee Byung-chull's post-liberation experience","locked","project-lead approved descriptive historical rendering","qa/chapter_05_terminology_decision.md (C5-T088)","","Use the 1946 Daegu uprising; preserve the uprising/violent-disturbance sense without claiming a uniquely official event title.","Do not silently convert this into another event."
"6·25 战争","the Korean War","historical_event","proper noun","CH05-P036; C5-T089","Korean War reference","locked","established English historical form","qa/chapter_05_terminology_decision.md (C5-T089)","","Use the Korean War.",""
"日本战时粮食配给制","Japan's wartime food-rationing system","historical_policy_context","descriptive noun phrase","CH05-P038; C5-T090","Source description of wartime rationing","locked","project-lead approved descriptive rendering","qa/chapter_05_terminology_decision.md (C5-T090)","","Use lower case as a descriptive expression; do not claim an official policy title.",""
"日本帝国主义的统制","Japanese imperial controls","historical_political_context","noun phrase","CH05-P038; C5-T091","Source description of Japanese imperial controls","locked","project-lead approved source-register rendering","qa/chapter_05_terminology_decision.md (C5-T091)","","Use Japanese imperial controls and preserve the author's critical register.",""
"民族企业","Korean-owned enterprises","historical_economic_concept","noun phrase","CH05-P004; CH05-P005; C5-T092","Korean business ownership in historical context","locked","project-lead approved contextual rendering","qa/chapter_05_terminology_decision.md (C5-T092)","","Use Korean-owned enterprises in this historical business context.","Avoid nationalized enterprises or ethnic enterprises unless a sentence explicitly requires that distinction."
"华商","Chinese merchants","historical_social_business_group","noun phrase","CH05-P015; C5-T093","Chinese merchants in the source's Macao/Hong Kong trade context","locked","project-lead approved contextual rendering","qa/chapter_05_terminology_decision.md (C5-T093)","","Default to Chinese merchants; overseas Chinese merchants is allowed only when supported by the sentence.",""
"韩侨","Korean expatriates","historical_social_business_group","noun phrase","CH05-P032; C5-T094","Koreans in the Hong Kong trade context","locked","project-lead approved occurrence-level rendering","qa/chapter_05_terminology_decision.md (C5-T094)","","Use Korean expatriates; Korean expatriates in Hong Kong is allowed for clarity.","Do not mechanically use Korean nationals abroad."
"元 / 万元 / 亿元 / 块（Chapter 5 historical amounts）","won","historical_currency_policy","complete amount expressions","CH05-P006; CH05-P036; CH05-P041; CH05-P045; C5-T095","Post-liberation Korean business amounts in Chapter 5","locked","project-lead approved Chapter 5 occurrence-level currency rule","qa/chapter_05_terminology_decision.md (C5-T095)","","Render the listed amounts in won without conversion; examples include a few hundred won, tens of thousands of won, and 15.3 million won.","Do not apply retroactively to colonial-period Chapters 3–4. If an audited occurrence proves explicitly pre-liberation, stop rather than forcing won. No reader note currently required."
"平方米 / 公斤 / 吨 / 摄氏度","square meters / kilograms / metric tons / degrees Celsius","metric_units","nouns","CH05-P013; CH05-P032; CH05-P040; CH05-P056; C5-T096","Metric units in Chapter 5","locked","project-lead approved standard English units","qa/chapter_05_terminology_decision.md (C5-T096)","","Preserve all source values; use square meters, kilograms, metric tons, and degrees Celsius.",""
"捆（棉纱贸易语境）","bales","historical_trade_unit","noun","CH05-P032; C5-T097","Cotton-yarn trade unit","locked","project-lead approved occurrence-level rendering","qa/chapter_05_terminology_decision.md (C5-T097)","","Translate both occurrences of 50捆棉纱 as 50 bales of cotton yarn.","Do not create a blind 捆 = bales rule outside this context."
"干鱿鱼 / 棉纱 / 白糖 / 缝纫机 / 医药用品 / 铁板 / 化肥","dried squid / cotton yarn / sugar / sewing machines / medical supplies / sheet metal / fertilizer","trade_goods","nouns","CH05-P031-CH05-P036; C5-T098","Chapter 5 traded commodities","locked","project-lead approved literal commodity renderings","qa/chapter_05_terminology_decision.md (C5-T098)","","Use the listed commodity forms consistently.","Do not add unsupported product specifications."
"公社（Chapter 5 historical entity context）","no independent global translation","historical_corporate_name_element","noun","CH05-P013; CH05-P015; CH05-P016; CH05-P031; C5-T099","Corporate-name element inside 三星物产公社","locked","project-lead approved entity-controlled treatment","qa/chapter_05_terminology_decision.md (C5-T099)","","For 三星物产公社 use Samsung Moolsan Trading Company; do not translate 公社 independently.","Do not mechanically use commune, public corporation, or corporation outside an approved entity context."
"专务","senior managing director","corporate_title","noun","CH05-P016; CH05-P032; C5-T100","Historical corporate executive title","locked","project-lead approved contextual title","qa/chapter_05_terminology_decision.md (C5-T100)","","Use senior managing director and maintain hierarchy relative to president and managing director.",""
"常务","managing director","corporate_title","noun","CH05-P016; C5-T101","Historical corporate executive title","locked","project-lead approved contextual title","qa/chapter_05_terminology_decision.md (C5-T101)","","Use managing director and maintain hierarchy relative to senior managing director and president.",""
"股份制 / 合资","joint-stock structure / joint investment","business_ownership_concepts","noun phrases","CH05-P016; CH05-P021-CH05-P024; C5-T102","Ownership and capitalization concepts","locked","project-lead approved differentiated renderings","qa/chapter_05_terminology_decision.md (C5-T102)","","Use joint-stock structure for 股份制 and joint investment or natural jointly invested/jointly capitalized grammar for 合资.","Do not automatically use joint venture unless separate corporate entities are actually described."
"投资入股 / 股份 / 利益分配","invest for an equity stake / shares / profit distribution","finance_management_terms","phrases/nouns","CH05-P018; CH05-P021-CH05-P024; C5-T103","Ownership and profit-distribution terminology","locked","project-lead approved differentiated renderings","qa/chapter_05_terminology_decision.md (C5-T103)","","Use the three approved forms consistently while allowing natural grammar.",""
"赏罚分明","a clear system of rewards and penalties","management_concept","noun phrase","CH05-P019; C5-T104","Management policy description","locked","project-lead approved natural rendering","qa/chapter_05_terminology_decision.md (C5-T104)","","Use a clear system of rewards and penalties; preserve the ability/merit context.","Do not turn the phrase into an official slogan."
"福利待遇 / 一家人的公司氛围","employee benefits / a family-like company atmosphere","labor_management_concepts","noun phrases","CH05-P020; CH05-P025-CH05-P027; C5-T105","Employee welfare and company-atmosphere concepts","locked","project-lead approved contextual renderings","qa/chapter_05_terminology_decision.md (C5-T105)","","Use employee benefits and a family-like company atmosphere.","Preserve the historical paternalistic register without editorial endorsement."
"事业报国","“Contribute to the National Prosperity”","corporate_motto","quotation","CH05-P030; C5-T106","Samsung management-philosophy motto","locked","established first-party English rendering","qa/chapter_05_terminology_decision.md (C5-T106); Ho-Am Foundation official English management-philosophy rendering","","Preserve as a standalone motto with the approved wording.","Do not dilute into explanatory prose."
"先想后做 / 先做后想","plan first, then act / act first, then think","paired_management_characterization","parallel phrases","CH05-P003; CH05-P047-CH05-P049; C5-T107","Repeated contrast between management styles","locked","project-lead approved parallel rendering","qa/chapter_05_terminology_decision.md (C5-T107)","","Use plan first, then act and act first, then think identically in intentional repetitions.",""
"赊欠 / 赊购 / 担保","credit or an outstanding credit balance / buy or purchase on credit / collateral","trade_credit_concepts","phrases/noun","CH05-P032; C5-T108","Commercial-credit sequence","locked","project-lead approved context-sensitive renderings","qa/chapter_05_terminology_decision.md (C5-T108)","","Use natural syntax while preserving the source sequence: credit/outstanding credit balance, buy or purchase on credit, and collateral.",""
"快速经营 / 经营成果 / 盈利结构","speed-oriented management / operating results / profit structure","management_concepts","noun phrases","CH05-P053; C5-T109","Comparative management terminology","locked","project-lead approved differentiated renderings","qa/chapter_05_terminology_decision.md (C5-T109)","","Use speed-oriented management, operating results, and profit structure.","Do not use the unnatural form rapid management."
"企业精神","corporate spirit","business_cultural_concept","noun phrase","CH05-P057; CH05-P058; C5-T110","Repeated Hyundai business concept","locked","project-lead approved rendering","qa/chapter_05_terminology_decision.md (C5-T110)","","Use corporate spirit consistently in both occurrences.",""
"面向现代，为创造未来而努力","face the modern age and strive to create the future","source_attributed_brand_explanation","quotation","CH05-P039; C5-T111","Source-attributed explanation of the Hyundai name","locked","project-lead approved source-attributed rendering","qa/chapter_05_terminology_decision.md (C5-T111)","","Use natural capitalization according to sentence position and preserve quotation attribution.","Do not present this project translation as an independently verified official Hyundai slogan; no reader note required."
"收人","income","verified_printed_typo","noun","CH05-P041; C5-T112","Visually verified printed typo for 收入","locked","project-lead approved intended-sense translation with mandatory disclosure","qa/chapter_05_source_decision.md (CH05-SD-002); qa/chapter_05_terminology_decision.md (C5-T112)","","Preserve 收人 in frozen Chinese; translate the intended meaning as income.","Mandatory TN-CH05-004: The printed source reads 收人 here, evidently a typographical error for 收入 (“income”). The translation renders the intended meaning as “income.”"
"打创消费市场品牌","build a brand in the consumer market","verified_malformed_source_phrase","verb phrase","CH05-P055; C5-T113","Visually verified malformed printed wording","locked","project-lead approved intended-sense translation with mandatory disclosure","qa/chapter_05_source_decision.md (CH05-SD-003); qa/chapter_05_terminology_decision.md (C5-T113)","","Preserve the Chinese phrase exactly; natural sentence-level English grammar is allowed around the locked intended sense.","Mandatory TN-CH05-005: The printed source reads 打创消费市场品牌, an apparently malformed phrase. The translation renders the evident intended sense as “build a brand in the consumer market.”"
"社长（Chapter 5 corporate/shareholder context）","president","corporate_title","noun","CH05-P016; CH05-P019; C5-T115","Chapter 5 corporate executive title","locked","project-lead approved occurrence-level title","qa/chapter_05_terminology_decision.md (C5-T115)","","Use president in Chapter 5 and maintain hierarchy: president / senior managing director / managing director.","This is a Chapter 5 context lock; it does not rewrite earlier occurrence-level decisions."
